1,1,1,-2,0,0,0,0
2,2,2,-1,0,0,0,0
3,3,3,3,0,0,0,0
4,4,4,8,0,0,0,0
5,5,5,11,12,0,0,0
6,6,6,5,0,0,0,0
7,7,7,1,0,1,16,17
8,8,1,2,0,4,12,0
9,9,2,3,0,1,11,0
10,10,3,4,0,1,10,0
11,11,4,4,0,1,9,0
12,12,5,4,0,1,8,0
13,13,6,7,0,2,6,0
14,14,7,7,2,1,5,0
15,15,1,7,0,1,4,0
16,16,2,6,0,3,1,0
17,17,3,3,0,1,0,0
18,18,4,6,0,0,0,0
19,19,5,5,0,0,0,0
20,20,6,7,0,0,0,0
21,21,7,7,1,1,26,27
22,22,1,5,0,3,23,0
23,23,2,6,0,1,22,0
24,24,3,6,0,2,20,0
25,25,4,10,4,2,18,0
26,26,5,9,0,5,13,0
27,27,6,4,0,1,12,0
28,28,7,4,0,1,17,6
29,29,1,5,0,1,16,0
30,30,2,2,0,2,14,0
31,31,3,1,0,4,10,0
32,1,4,4,0,2,8,0
33,2,5,6,0,3,5,0
34,3,6,7,1,2,3,0
35,4,7,4,1,1,31,29
36,5,1,4,0,2,29,0
37,6,2,5,0,2,27,0
38,7,3,6,0,1,26,0
39,8,4,-3,0,3,23,0
40,9,5,0,0,2,21,0
41,10,6,5,0,1,20,0
42,11,7,7,0,1,29,10
43,12,1,3,0,2,27,0
44,13,2,3,0,1,26,0
45,14,3,7,0,1,25,0
46,15,4,8,1,4,21,0
47,16,5,6,1,3,18,0
48,17,6,6,0,1,17,0
49,18,7,4,0,3,14,0
50,19,1,5,0,1,13,0
51,20,2,8,0,1,12,0
52,21,3,10,3,1,11,0
53,22,4,9,0,1,10,0
54,23,5,7,0,2,8,0
55,24,6,8,0,1,7,0
56,25,7,10,0,1,6,0
57,26,1,6,0,2,4,0
58,27,2,3,0,1,3,0
59,28,3,5,2,3,0,0
60,1,4,5,0,0,0,0
61,2,5,7,0,0,0,0
62,3,6,4,2,0,0,0
63,4,7,2,0,1,38,39
64,5,1,5,0,1,37,0
65,6,2,7,0,1,36,0
66,7,3,8,0,4,32,0
67,8,4,9,0,3,29,0
68,9,5,6,0,1,28,0
69,10,6,1,0,1,27,0
70,11,7,5,0,4,70,47
71,12,1,7,0,1,69,0
72,13,2,8,6,1,68,0
73,14,3,9,0,4,64,0
74,15,4,11,0,2,62,0
75,16,5,13,0,2,60,0
76,17,6,15,0,1,59,0
77,18,7,10,7,2,103,46
78,19,1,12,0,3,100,0
79,20,2,14,0,2,98,0
80,21,3,16,0,1,97,0
81,22,4,13,0,2,95,0
82,23,5,9,0,2,93,0
83,24,6,8,0,4,89,0
84,25,7,10,0,1,88,0
85,26,1,12,0,1,87,0
86,27,2,13,0,1,86,0
87,28,3,14,0,1,85,0
88,29,4,15,0,2,83,0
89,30,5,16,0,1,82,0
90,31,6,15,2,2,93,13
91,1,7,11,0,7,111,25
92,2,1,15,11,2,109,0
93,3,2,14,0,2,107,0
94,4,3,10,11,2,105,0
95,5,4,11,2,2,103,0
96,6,5,11,4,1,102,0
97,7,6,9,0,2,100,0
98,8,7,8,0,3,97,0
99,9,1,10,0,3,94,0
100,10,2,12,0,1,83,0
101,11,3,13,0,1,82,0
102,12,4,13,5,1,81,0
103,13,5,11,9,2,79,0
104,14,6,11,0,4,75,0
105,15,7,15,0,3,72,0
106,16,1,13,0,2,70,0
107,17,2,14,0,4,34,0
108,18,3,16,4,3,31,0
109,19,4,15,11,1,30,0
110,20,5,10,2,2,28,0
111,21,6,14,0,1,27,0
112,22,7,18,0,2,25,0
113,23,1,16,0,1,24,0
114,24,2,17,0,1,23,0
115,25,3,17,0,2,21,0
116,26,4,18,0,3,18,0
117,27,5,19,0,3,15,0
118,28,6,18,1,2,13,0
119,29,7,15,8,2,38,27
120,30,1,17,0,4,34,0
121,1,2,19,0,1,26,0
122,2,3,20,1,1,25,0
123,3,4,17,5,1,24,0
124,4,5,19,0,2,22,0
125,5,6,16,0,1,21,0
126,6,7,17,0,3,20,2
127,7,1,19,0,2,18,0
128,8,2,20,0,3,15,0
129,9,3,18,0,1,14,0
130,10,4,16,0,2,12,0
131,11,5,17,16,1,11,0
132,12,6,16,0,3,8,0
133,13,7,19,0,1,7,0
134,14,1,18,0,2,5,0
135,15,2,17,1,1,4,0
136,16,3,16,0,1,3,0
137,17,4,19,0,3,0,0
138,18,5,15,9,0,0,0
139,19,6,18,0,0,0,0
140,20,7,18,0,0,0,0
141,21,1,18,0,0,0,0
142,22,2,18,0,0,0,0
143,23,3,19,0,0,0,0
144,24,4,20,0,0,0,0
145,25,5,20,0,0,0,0
146,26,6,23,0,0,0,0
147,27,7,22,0,0,0,0
148,28,1,21,0,0,0,0
149,29,2,23,0,0,0,0
150,30,3,19,1,0,0,0
151,31,4,21,0,0,0,0
152,1,5,20,0,0,0,0
153,2,6,20,0,0,0,0
154,3,7,21,0,1,0,1
155,4,1,22,0,0,0,0
156,5,2,15,2,0,0,0
157,6,3,19,0,0,0,0
158,7,4,20,0,0,0,0
159,8,5,20,2,0,0,0
160,9,6,21,0,0,0,0
161,10,7,23,0,0,0,0
162,11,1,21,1,0,0,0
163,12,2,20,0,0,0,0
164,13,3,20,0,0,0,0
165,14,4,22,0,0,0,0
166,15,5,21,1,0,0,0
167,16,6,21,0,0,0,0
168,17,7,21,0,0,0,0
169,18,1,22,0,0,0,0
170,19,2,22,0,0,0,0
171,20,3,20,1,0,0,0
172,21,4,21,0,0,0,0
173,22,5,22,0,0,0,0
174,23,6,22,0,0,0,0
175,24,7,21,0,0,0,0
176,25,1,21,3,0,0,0
177,26,2,21,0,0,0,0
178,27,3,19,0,0,0,0
179,28,4,19,0,0,0,0
180,29,5,21,0,0,0,0
181,30,6,20,1,0,0,0
182,1,7,22,0,3,35,38
183,2,1,21,0,3,32,0
184,3,2,22,0,2,30,0
185,4,3,20,0,2,28,0
186,5,4,20,0,1,27,0
187,6,5,20,1,2,25,0
188,7,6,19,3,3,22,0
189,8,7,21,3,2,20,0
190,9,1,22,0,3,17,0
191,10,2,23,0,2,15,0
192,11,3,24,1,3,12,0
193,12,4,23,2,1,11,0
194,13,5,22,0,1,10,0
195,14,6,23,0,2,8,0
196,15,7,23,0,3,50,45
197,16,1,20,0,1,49,0
198,17,2,19,0,1,48,0
199,18,3,22,0,2,46,0
200,19,4,23,0,3,43,0
201,20,5,22,0,2,41,0
202,21,6,23,0,4,37,0
203,22,7,22,2,2,68,33
204,23,1,24,1,1,67,0
205,24,2,24,0,2,65,0
206,25,3,24,0,3,62,0
207,26,4,27,0,2,60,0
208,27,5,26,0,3,57,0
209,28,6,27,1,3,54,0
210,29,7,26,0,1,90,37
211,30,1,26,0,1,89,0
212,31,2,26,0,2,87,0
213,1,3,26,0,1,86,0
214,2,4,26,0,4,82,0
215,3,5,26,0,1,81,0
216,4,6,26,0,2,79,0
217,5,7,27,0,4,101,26
218,6,1,27,0,1,100,0
219,7,2,28,0,4,96,0
220,8,3,27,0,1,95,0
221,9,4,28,0,1,94,0
222,10,5,28,0,2,92,0
223,11,6,25,4,2,90,0
224,12,7,23,2,4,128,42
225,13,1,24,0,1,127,0
226,14,2,25,0,3,124,0
227,15,3,26,0,4,120,0
228,16,4,24,1,1,119,0
229,17,5,24,0,2,117,0
230,18,6,25,0,2,115,0
231,19,7,25,0,2,113,0
232,20,1,24,11,1,112,0
233,21,2,22,13,2,103,0
234,22,3,25,0,2,101,0
235,23,4,25,0,4,97,0
236,24,5,24,2,3,94,0
237,25,6,21,7,1,93,0
238,26,7,22,0,2,139,48
239,27,1,24,0,3,136,0
240,28,2,24,0,2,114,0
241,29,3,23,0,2,112,0
242,30,4,23,0,4,108,0
243,31,5,23,4,1,107,0
244,1,6,23,0,1,106,0
245,2,7,23,6,1,123,18
246,3,1,23,0,1,122,0
247,4,2,23,0,1,107,0
248,5,3,21,4,4,103,0
249,6,4,20,0,1,102,0
250,7,5,20,0,2,100,0
251,8,6,21,0,2,98,0
252,9,7,21,0,1,97,0
253,10,1,21,0,1,96,0
254,11,2,23,0,1,65,0
255,12,3,19,2,1,64,0
256,13,4,20,0,1,63,0
257,14,5,20,0,2,61,0
258,15,6,20,0,2,68,9
259,16,7,19,10,4,77,13
260,17,1,18,4,1,76,0
261,18,2,20,0,1,75,0
262,19,3,20,0,1,74,0
263,20,4,21,0,1,73,0
264,21,5,21,0,2,71,0
265,22,6,21,0,1,70,0
266,23,7,20,7,2,92,24
267,24,1,20,2,1,91,0
268,25,2,21,0,1,63,0
269,26,3,21,0,2,61,0
270,27,4,21,0,3,58,0
271,28,5,22,0,1,57,0
272,29,6,20,0,1,56,0
273,30,7,19,4,1,55,0
274,1,1,20,15,3,52,0
275,2,2,17,0,1,45,0
276,3,3,19,0,1,44,0
277,4,4,18,0,1,43,0
278,5,5,18,0,2,41,0
279,6,6,19,0,2,39,0
280,7,7,19,0,3,36,0
281,8,1,19,0,4,32,0
282,9,2,18,0,2,30,0
283,10,3,17,1,1,29,0
284,11,4,15,0,1,28,0
285,12,5,15,0,2,26,0
286,13,6,17,0,3,23,0
287,14,7,18,0,2,21,0
288,15,1,18,0,5,16,0
289,16,2,18,0,1,15,0
290,17,3,18,0,1,14,0
291,18,4,19,0,1,13,0
292,19,5,18,0,2,11,0
293,20,6,19,0,1,10,0
294,21,7,19,0,2,54,46
295,22,1,17,0,1,53,0
296,23,2,18,0,3,43,0
297,24,3,19,0,3,40,0
298,25,4,15,0,2,38,0
299,26,5,16,0,1,37,0
300,27,6,15,3,3,34,0
301,28,7,14,0,1,53,20
302,29,1,14,0,3,50,0
303,30,2,10,0,2,48,0
304,31,3,10,0,3,45,0
305,1,4,11,1,2,43,0
306,2,5,13,0,1,42,0
307,3,6,14,0,1,41,0
308,4,7,16,0,1,40,0
309,5,1,17,0,3,37,0
310,6,2,15,1,1,36,0
311,7,3,16,16,2,34,0
312,8,4,14,2,3,31,0
313,9,5,14,0,1,30,0
314,10,6,13,0,2,28,0
315,11,7,15,0,1,27,0
316,12,1,16,1,2,25,0
317,13,2,14,3,1,24,0
318,14,3,16,0,2,22,0
319,15,4,16,0,3,19,0
320,16,5,17,2,2,17,0
321,17,6,15,1,1,16,0
322,18,7,12,1,3,13,0
323,19,1,13,0,1,12,0
324,20,2,14,0,2,10,0
325,21,3,14,0,1,9,0
326,22,4,14,0,1,8,0
327,23,5,13,0,3,5,0
328,24,6,10,0,2,3,0
329,25,7,7,0,3,0,0
330,26,1,3,0,0,0,0
331,27,2,4,0,0,0,0
332,28,3,7,0,0,0,0
333,29,4,10,0,0,0,0
334,30,5,10,0,0,0,0
335,1,6,11,0,0,0,0
336,2,7,11,1,0,0,0
337,3,1,5,0,0,0,0
338,4,2,5,0,0,0,0
339,5,3,7,0,0,0,0
340,6,4,7,0,0,0,0
341,7,5,10,0,0,0,0
342,8,6,10,0,0,0,0
343,9,7,12,1,1,47,48
344,10,1,12,3,2,45,0
345,11,2,8,0,3,42,0
346,12,3,9,0,1,41,0
347,13,4,10,0,1,40,0
348,14,5,10,1,2,38,0
349,15,6,8,0,3,35,0
350,16,7,3,0,2,33,0
351,17,1,0,0,2,31,0
352,18,2,3,0,1,30,0
353,19,3,7,0,2,28,0
354,20,4,8,2,1,27,0
355,21,5,8,0,2,25,0
356,22,6,11,0,6,19,0
357,23,7,10,0,1,45,27
358,24,1,8,0,1,44,0
359,25,2,4,0,2,42,0
360,26,3,7,0,3,39,0
361,27,4,3,0,2,37,0
362,28,5,0,0,3,34,0
363,29,6,2,0,1,33,0
364,30,7,5,0,1,47,15
365,31,1,4,0,2,45,0
1,1,2,5,0,1,44,0
2,2,3,8,0,2,42,0
3,3,4,10,0,1,41,0
4,4,5,9,0,2,39,0
5,5,6,4,0,2,37,0
6,6,7,4,0,3,34,0
7,7,1,2,0,1,33,0
8,8,2,2,0,1,32,0
9,9,3,3,0,1,31,0
10,10,4,4,0,5,26,0
11,11,5,3,0,3,23,0
12,12,6,1,0,1,22,0
13,13,7,1,0,2,36,16
14,14,1,2,0,1,35,0
15,15,2,4,0,1,34,0
16,16,3,6,0,1,33,0
17,17,4,6,5,1,32,0
18,18,5,-1,0,4,28,0
19,19,6,-5,0,3,28,3
20,20,7,-2,0,2,35,9
21,21,1,-1,0,1,34,0
22,22,2,0,0,4,30,0
23,23,3,-6,0,1,29,0
24,24,4,-8,0,1,28,0
25,25,5,-3,0,3,25,0
26,26,6,2,0,3,22,0
27,27,7,5,0,2,24,4
28,28,1,4,5,1,23,0
29,29,2,4,1,1,22,0
30,30,3,5,0,6,16,0
31,31,4,2,0,1,15,0
32,1,5,0,0,1,14,0
33,2,6,1,0,2,12,0
34,3,7,2,0,1,11,0
35,4,1,3,0,3,8,0
36,5,2,3,0,1,7,0
37,6,3,1,0,3,4,0
38,7,4,3,0,1,3,0
39,8,5,5,0,1,2,0
40,9,6,5,0,2,0,0
41,10,7,6,0,0,0,0
42,11,1,11,0,0,0,0
43,12,2,12,11,0,0,0
44,13,3,13,5,0,0,0
45,14,4,2,0,0,0,0
46,15,5,-1,0,0,0,0
47,16,6,2,0,0,0,0
48,17,7,3,0,1,33,34
49,18,1,6,0,4,29,0
50,19,2,9,1,2,27,0
51,20,3,5,0,2,25,0
52,21,4,4,0,3,22,0
53,22,5,6,0,2,20,0
54,23,6,6,0,1,19,0
55,24,7,2,0,1,24,6
56,25,1,3,0,1,23,0
57,26,2,7,0,3,20,0
58,27,3,9,0,1,19,0
59,28,4,8,0.3,2,17,0
60,1,5,-1,0.1,1,16,0
61,2,6,2,0,3,13,0
62,3,7,7,0,2,11,0
63,4,1,11,2.1,2,9,0
64,5,2,11,5.5,3,6,0
65,6,3,14,8.9,1,5,0
66,7,4,12,0.2,1,4,0
67,8,5,11,0,4,0,0
68,9,6,7,2.7,0,0,0
69,10,7,6,0,1,29,30
70,11,1,4,0,1,28,0
71,12,2,3,0,5,23,0
72,13,3,6,0,1,22,0
73,14,4,7,0,2,20,0
74,15,5,6,0,2,18,0
75,16,6,8,0,1,17,0
76,17,7,11,0,2,19,4
